product_name,brands_tags,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,sodium_100g,serving_quantity,allergens_tags,traces
Clusters Caramel & Choco,Nestle,12,63,24,6.3,0.268,35,"en:gluten,en:milk,en:soybeans,fr:avoine",en:nuts
Crunch,Nestle,25.8,62.4,50.4,6.5,0.14,16,,
Nestle Kit Kat Chunky Peanut Butter,Nestle,30.9,52.8,46.2,9.7,0.22,14,"en:gluten,en:milk,de:erdnusspaste,fr:erdnusspaste",en:nuts
Kitkat Raspberry 12 Mini Bars Raspberry Chocolate Kit Kat Nestle Japanese,Nestle,33.6,61.1,42.8,3.9,0.24,,,
Chocolate Kit Kat 45G,Nestle,24,20,20,2.8,0,,,
Aero Peppermint,Nestle,30.7,58,57.9,6.9,0.09652,20,"en:milk,en:soybeans","en:gluten,en:nuts,en:peanuts"
Bar One,Nestle,19,68,65.3,4.5,0.103632,55,"en:eggs,en:gluten,en:milk,en:soybeans","en:nuts,en:peanuts"
"Blueberries,Almonds & Hazelnuts Dark Chocolate Sharing Bar 100G",Nestle,37.8,41.1,37,8.9,0.004,,,
Nestlé KoKoKrunch Chocolate Cereal Bars,Nestle,,,,,,,"en:gluten,en:milk",
Lion blackwhite,Nestle,22.2,63.2,47.4,6.2,0.212,,,
Nestle Crunch,Nestle,,,,,,,"en:gluten,en:milk,en:soybeans",
Lion white 2 pack,Nestle,22.1,65.2,50.1,5.7,0.232,,"sr:mleka,sr:mleko,sr:pšenični,sr:pšenično,sr:surutka","en:soybeans,sr:Jezgrasto voće,sr:Kikiriki"
Kitkat chunky,Nestle,28.35,60.99,51.66,6.6,0.08,40,"sr:mleko,sr:mlečna,sr:pšenično,sr:surutke","sr:Jezgrasto voće,sr:Kikiriki"
Cadbury Dairy Milk Big Taste Toffee Whole Nut Chocolate Bar,Cadbury,36,51,50,6.3,0.128,,"en:gluten,en:milk",
Twirl Chocolate Bar,Cadbury,6.3,58,12,7,,,,
Crunchie,Cadbury,17.5,73.5,65,3.5,0.292,40,,
Cadbury Dairy Milk,Cadbury,30.4,56,56,7.6,0.08,25,en:milk,"en:gluten,en:nuts"
Cadbury Chocolate Cake Bar 5 Pack,Cadbury,22.8,53.8,39.3,4.9,0.28,24,en:gluten,
Cadbury Dairy Milk Big Taste Toffee Whole Nut Chocolate Bar 43G,Cadbury,37,50,48,6.4,0.128,,,
Cadbury Flake Chocolate Bar,Cadbury,27,64,59,7.4,0.104,,,
Cadbury Double Decker Chocolate Bar X9,Cadbury,17,73,55,3.7,0.076,,,
Cadbury Dairy Milk Fruit & Nut Chocolate Bar,Cadbury,26,55.5,54.5,8.3,0.08,,,
Cadbury Fudge Chocolate Bar,Cadbury,15,74,65,2.4,0.136,,,
Cadbury Break Bar Chocolate 130G,Cadbury,27,62,39,4.7,0.128,,,
Wispa,Cadbury,34,53,52,7.1,0.088,36,,
Fudge,Cadbury,15,74,65,2.4,0.136,,,
"Cadbury Dairy Milk Medley Dark Choc Chip, Biscuit & Fudge Chocolate Bar",Cadbury,34,54.5,51,5.9,0.112,,en:milk,
Dairy Milk Chocolate Bar,Cadbury,30.4,57.4,56,7.6,0.0328,50,,en:nuts
Cadbury Dairy Milk With Oreo Chocolate Bar,Cadbury,34,55,49,6.2,0.168,,"en:gluten,en:milk",
Cadbury Boost Duo,Cadbury,28,59,52,5.6,0.132,34,"en:gluten,en:milk","en:peanuts,en:soybeans"
Cadbury Twirl,Cadbury,29,59,58,7,0.104,,en:milk,
Cadbury Dairy Milk Big Taste Oreo Chocolate Bar,Cadbury,35,54,47,5.6,0.188,,"en:gluten,en:milk",
Cherry Ripe,Cadbury,25,54.7,47.9,4.3,0.112,,,
Cadbury Boost,Cadbury,28,59,52,5.6,0.132,48.5,"en:gluten,en:milk",
